id,symbol,# of Res Gene was in
HGNC:1764,CDH5,1
HGNC:14002,CDK2AP1,1
HGNC:1774,CDK5,1
HGNC:1780,CDK9,1
HGNC:1795,CDO1,1
HGNC:1814,CEACAM1,1
HGNC:1835,CEBPD,1
HGNC:23163,CENPS,1
HGNC:30794,CEP57,1
HGNC:29599,CFAP94,1
HGNC:1876,CFLAR,1
HGNC:28314,CHCHD7,1
HGNC:1915,CHD1,1
HGNC:1919,CHD4,1
HGNC:16816,CHD5,1
HGNC:20455,CHFR,1
HGNC:19650,CHST10,1
HGNC:1974,CHUK,1
HGNC:21219,CILK1,1
HGNC:29302,CIP2A,1
HGNC:1987,CITED2,1
HGNC:16744,CIZ1,1
HGNC:2032,CLDN1,1
HGNC:17591,CLDN23,1
HGNC:2095,CLU,1
HGNC:19174,CMTM3,1
HGNC:19176,CMTM5,1
HGNC:13164,CNBP,1
HGNC:24437,CNDP2,1
HGNC:2155,CNN1,1
HGNC:13830,CNTNAP2,1
HGNC:2231,COPB1,1
HGNC:30747,COPS2,1
HGNC:2285,COX6C,1
HGNC:2320,CPNE7,1
HGNC:2323,CPS1,1
HGNC:30185,CRBN,1
HGNC:2345,CREB1,1
HGNC:16844,CREB5,1
HGNC:2352,CREM,1
HGNC:1230,CRNN,1
HGNC:16062,CRTC1,1
HGNC:26148,CRTC3,1
HGNC:2434,CSF2,1
HGNC:14026,CSMD1,1
HGNC:2451,CSNK1A1,1
HGNC:14300,CSRNP1,1
HGNC:2477,CST5,1
HGNC:2478,CST6,1
HGNC:2491,CTAG1B,1
HGNC:2492,CTAG2,1
HGNC:26169,CTC1,1
HGNC:16234,CTCFL,1
HGNC:16890,CTDSPL,1
HGNC:2510,CTNNA2,1
HGNC:2511,CTNNA3,1
HGNC:16913,CTNNBIP1,1
HGNC:2515,CTNND1,1
HGNC:2523,CTRC,1
HGNC:2551,CUL1,1
HGNC:2552,CUL2,1
HGNC:2554,CUL4A,1
HGNC:2556,CUL5,1
HGNC:21024,CUL7,1
HGNC:10647,CX3CL1,1
HGNC:10672,CXCL12,1
HGNC:10640,CXCL14,1
HGNC:6027,CXCR2,1
HGNC:24593,CXXC4,1
HGNC:26943,CXXC5,1
HGNC:30253,CYB561D2,1
HGNC:2570,CYB5A,1
HGNC:24376,CYB5R2,1
HGNC:16505,CYGB,1
HGNC:2593,CYP17A1,1
HGNC:2597,CYP1B1,1
HGNC:2638,CYP3A5,1
HGNC:2662,DAB2,1
HGNC:17294,DAB2IP,1
HGNC:2663,DACH1,1
HGNC:17748,DACT1,1
HGNC:2674,DAPK1,1
HGNC:2675,DAPK2,1
HGNC:2676,DAPK3,1
HGNC:2690,DBI,1
HGNC:18141,DCDC2,1
HGNC:17660,DCLRE1A,1
HGNC:2705,DCN,1
HGNC:18184,DCUN1D1,1
HGNC:28734,DCUN1D3,1
HGNC:2730,DDR1,1
HGNC:18674,DDX41,1
HGNC:18677,DDX43,1
HGNC:2746,DDX5,1
HGNC:19102,DDX58,1
HGNC:2761,DEFA1,1
HGNC:2766,DEFB1,1
HGNC:23658,DELEC1,1
HGNC:11350,DENND2B,1
HGNC:26192,DENND2D,1
HGNC:26344,DEUP1,1
HGNC:2772,DFFA,1
HGNC:2847,DGCR8,1
HGNC:2854,DGKH,1
HGNC:21528,DIABLO,1
HGNC:2680,DIDO1,1
HGNC:19127,DIRAS1,1
HGNC:687,DIRAS3,1
HGNC:28648,DIS3L2,1
HGNC:2890,DKC1,1
HGNC:2893,DKK3,1
HGNC:2897,DLC1,1
HGNC:2899,DLEC1,1
HGNC:13747,DLEU1,1
HGNC:13748,DLEU2,1
HGNC:2900,DLG1,1
HGNC:2907,DLK1,1
HGNC:2909,DLL3,1
HGNC:2926,DMBT1,1
HGNC:2928,DMD,1
HGNC:14603,DMTF1,1
HGNC:11808,DNAJA3,1
HGNC:5270,DNAJB1,1
HGNC:14886,DNAJB4,1
HGNC:25570,DNAJC11,1
HGNC:23799,DND1,1
HGNC:2990,DOK1,1
HGNC:2991,DOK2,1
HGNC:24583,DOK3,1
HGNC:3003,DPH1,1
HGNC:3009,DPP4,1
HGNC:3026,DRD5,1
HGNC:17904,DROSHA,1
HGNC:3037,DSC3,1
HGNC:3052,DSP,1
HGNC:3060,DTX1,1
HGNC:3064,DUSP1,1
HGNC:3068,DUSP2,1
HGNC:28161,DUSP26,1
HGNC:3071,DUSP5,1
HGNC:50800,DUX4,1
HGNC:2962,DYNC2H1,1
HGNC:3113,E2F1,1
HGNC:3114,E2F2,1
HGNC:20907,EAF1,1
HGNC:23115,EAF2,1
HGNC:19087,EBF3,1
HGNC:24642,ECRG4,1
HGNC:35454,ECSCR,1
HGNC:3155,ECT2,1
HGNC:17756,EDA2R,1
HGNC:3180,EDNRB,1
HGNC:3189,EEF1A1,1
HGNC:3212,EEF1E1,1
HGNC:3222,EFNA2,1
HGNC:3225,EFNA5,1
HGNC:20594,EGFL7,1
HGNC:14661,EGLN3,1
HGNC:3238,EGR1,1
HGNC:3239,EGR2,1
HGNC:3244,EHD3,1
HGNC:3246,EHF,1
HGNC:13276,EI24,1
HGNC:3275,EIF3F,1
HGNC:3288,EIF4EBP1,1
HGNC:3318,ELF3,1
HGNC:3326,ELK4,1
HGNC:11620,ELOA,1
HGNC:11617,ELOC,1
HGNC:5959,ELP1,1
HGNC:18248,ELP2,1
HGNC:3333,EMP1,1
HGNC:3334,EMP2,1
HGNC:3349,ENG,1
HGNC:3377,EPB41,1
HGNC:3380,EPB41L3,1
HGNC:3385,EPHA1,1
HGNC:3394,EPHB3,1
HGNC:3396,EPHB6,1
HGNC:17072,ERC1,1
HGNC:3438,ERCC6,1
HGNC:3443,EREG,1
HGNC:3444,ERF,1
HGNC:3468,ESR2,1
HGNC:25966,ESRP1,1
HGNC:3473,ESRRB,1
HGNC:19055,EXOSC6,1
HGNC:3515,EXTL1,1
HGNC:3516,EXTL2,1
HGNC:3518,EXTL3,1
HGNC:3522,EYA4,1
HGNC:3526,EZH1,1
HGNC:3557,FABP3,1
HGNC:3573,FADD,1
HGNC:3578,FAF1,1
HGNC:25365,FAM172A,1
HGNC:3583,FANCB,1
HGNC:23168,FANCM,1
HGNC:23109,FAT4,1
HGNC:3600,FBLN1,1
HGNC:3606,FBP1,1
HGNC:21658,FBXL13,1
HGNC:13596,FBXO25,1
HGNC:16731,FBXO32,1
HGNC:3631,FDPS,1
HGNC:15801,FER1L4,1
HGNC:3665,FGF1,1
HGNC:3668,FGF12,1
HGNC:3670,FGF13,1
HGNC:3683,FGF5,1
HGNC:3685,FGF7,1
HGNC:3686,FGF8,1
HGNC:3687,FGF9,1
HGNC:3702,FHL1,1
HGNC:3754,FLNA,1
HGNC:25404,FLYWCH1,1
HGNC:3796,FOS,1
HGNC:5022,FOXA2,1
HGNC:3800,FOXC1,1
HGNC:3801,FOXC2,1
HGNC:3804,FOXD3,1
HGNC:34428,FOXL2NB,1
HGNC:24814,FOXO6,1
HGNC:20951,FOXQ1,1
HGNC:3955,FRK,1
HGNC:16970,FRS3,1
HGNC:3951,FXN,1
HGNC:24824,FZR1,1
HGNC:30229,G0S2,1
HGNC:4057,G6PD,1
HGNC:4067,GABARAP,1
HGNC:4080,GABRA6,1
HGNC:4097,GADD45G,1
HGNC:29996,GADD45GIP1,1
HGNC:19877,GALNT12,1
HGNC:4132,GALR1,1
HGNC:4138,GANAB,1
HGNC:4165,GAS1,1
HGNC:16355,GAS5,1
HGNC:4168,GAS6,1
HGNC:15802,GATA5,1
HGNC:4182,GBP1,1
HGNC:26881,GEN1,1
HGNC:19357,GGNBP2,1
HGNC:4274,GJA1,1
HGNC:4284,GJB2,1
HGNC:23217,GKN1,1
HGNC:24588,GKN2,1
HGNC:4318,GLI2,1
HGNC:17001,GLIPR1,1
HGNC:29570,GLS2,1
HGNC:4380,GNA12,1
HGNC:4393,GNAT1,1
HGNC:4415,GNMT,1
HGNC:4428,GOLGA5,1
HGNC:17643,GOPC,1
HGNC:25676,GORAB,1
HGNC:4453,GPC5,1
HGNC:9836,GPRC5A,1
HGNC:4550,GPS2,1
HGNC:4555,GPX3,1
HGNC:2810,GSDME,1
HGNC:4620,GSN,1
HGNC:21535,GTPBP4,1
HGNC:13698,GTSE1,1
HGNC:4688,GUCY2C,1
HGNC:4717,H1-3,1
HGNC:4737,H2AC11,1
HGNC:4730,H2AC16,1
HGNC:4735,H2AC17,1
HGNC:4739,H2AX,1
HGNC:4761,H2BC11,1
HGNC:13954,H2BC12,1
HGNC:4758,H2BC17,1
HGNC:4751,H2BC3,1
HGNC:4757,H2BC4,1
HGNC:4747,H2BC5,1
HGNC:33164,H3-5,1
HGNC:4766,H3C1,1
HGNC:20503,H3C14,1
HGNC:4791,H4C13,1
HGNC:4789,H4C2,1
HGNC:4790,H4C5,1
HGNC:4793,H4C9,1
HGNC:20920,HACD4,1
HGNC:21033,HACE1,1
HGNC:4820,HAS3,1
HGNC:23200,HBP1,1
HGNC:24827,HCAR2,1
HGNC:4854,HDAC3,1
HGNC:14067,HDAC7,1
HGNC:21041,HECA,1
HGNC:26361,HEPACAM,1
HGNC:4909,HIC1,1
HGNC:4912,HINT1,1
HGNC:14402,HIPK2,1
HGNC:4916,HIRA,1
HGNC:4920,HIVEP1,1
HGNC:13561,HIVEP3,1
HGNC:4931,HLA-A,1
HGNC:4932,HLA-B,1
HGNC:4934,HLA-DMA,1
HGNC:4935,HLA-DMB,1
HGNC:4936,HLA-DOA,1
HGNC:4937,HLA-DOB,1
HGNC:4938,HLA-DPA1,1
HGNC:4940,HLA-DPB1,1
HGNC:4941,HLA-DPB2,1
HGNC:4942,HLA-DQA1,1
HGNC:4943,HLA-DQA2,1
HGNC:4944,HLA-DQB1,1
HGNC:4945,HLA-DQB2,1
HGNC:4948,HLA-DRB1,1
HGNC:4953,HLA-DRB5,1
HGNC:4954,HLA-DRB6,1
HGNC:4962,HLA-E,1
HGNC:4963,HLA-F,1
HGNC:4964,HLA-G,1
HGNC:11099,HLTF,1
HGNC:26817,HMGN2P46,1
HGNC:5013,HMOX1,1
HGNC:11630,HNF1B,1
HGNC:5024,HNF4A,1
HGNC:5033,HNRNPA2B1,1
HGNC:17513,HOMER2,1
HGNC:23576,HOOK3,1
HGNC:24961,HOPX,1
HGNC:5104,HOXA3,1
HGNC:5139,HOXD8,1
HGNC:5154,HPGD,1
HGNC:5181,HRG,1
HGNC:5217,HSD3B1,1
HGNC:12028,HSP90B1,1
HGNC:5238,HSPA5,1
HGNC:5246,HSPB1,1
HGNC:5249,HSPB7,1
HGNC:5261,HSPD1,1
HGNC:16637,HTATIP2,1
HGNC:9476,HTRA1,1
HGNC:14348,HTRA2,1
HGNC:30406,HTRA3,1
HGNC:17087,ICOSLG,1
HGNC:5362,ID3,1
HGNC:5363,ID4,1
HGNC:6059,IDO1,1
HGNC:5392,IER3,1
HGNC:5395,IFI16,1
HGNC:5407,IFIT1,1
HGNC:5409,IFIT2,1
HGNC:5411,IFIT3,1
HGNC:5412,IFITM1,1
HGNC:5414,IFITM3,1
HGNC:5432,IFNAR1,1
HGNC:5433,IFNAR2,1
HGNC:5440,IFNGR2,1
HGNC:18365,IFNL3,1
HGNC:20606,IFT88,1
HGNC:5467,IGF2R,1
HGNC:5468,IGFALS,1
HGNC:5472,IGFBP3,1
HGNC:5473,IGFBP4,1
HGNC:5474,IGFBP5,1
HGNC:5476,IGFBP7,1
HGNC:20081,IGFBPL1,1
HGNC:5477,IGH,1
HGNC:5715,IGK,1
HGNC:5853,IGL,1
HGNC:5962,IL10,1
HGNC:5964,IL10RA,1
HGNC:5977,IL15,1
HGNC:5981,IL17A,1
HGNC:17616,IL17RD,1
HGNC:6001,IL2,1
HGNC:11346,IL24,1
HGNC:6008,IL2RA,1
HGNC:6009,IL2RB,1
HGNC:6011,IL3,1
HGNC:16028,IL33,1
HGNC:6018,IL6,1
HGNC:6019,IL6R,1
HGNC:6040,ILK,1
HGNC:6063,ING2,1
HGNC:14587,ING3,1
HGNC:19423,ING4,1
HGNC:19421,ING5,1
HGNC:6074,INPP4A,1
HGNC:6079,INPP5D,1
HGNC:14879,INTS6,1
HGNC:6111,IQGAP2,1
HGNC:7237,IRAG1,1
HGNC:6690,IRAG2,1
HGNC:6118,IRF3,1
HGNC:6120,IRF5,1
HGNC:6125,IRS1,1
HGNC:14358,IRX1,1
HGNC:4053,ISG15,1
HGNC:6141,ITGA5,1
HGNC:6143,ITGA7,1
HGNC:6150,ITGAV,1
HGNC:6153,ITGB1,1
HGNC:6156,ITGB3,1
HGNC:6179,ITPKB,1
HGNC:6196,JARID2,1
HGNC:17546,JDP2,1
HGNC:6207,JUP,1
HGNC:19309,KANK1,1
HGNC:5275,KAT5,1
HGNC:17582,KAT6B,1
HGNC:23761,KBTBD4,1
HGNC:6266,KCNJ5,1
HGNC:18893,KCNRG,1
HGNC:13610,KDM2B,1
HGNC:20815,KDM3A,1
HGNC:1337,KDM3B,1
HGNC:17071,KDM4C,1
HGNC:25840,KDM8,1
HGNC:22219,KIAA1549,1
HGNC:6392,KIF23,1
HGNC:30497,KIF7,1
HGNC:6341,KISS1,1
HGNC:6344,KL,1
HGNC:11810,KLF10,1
HGNC:6349,KLF5,1
HGNC:2235,KLF6,1
HGNC:6358,KLK10,1
HGNC:6363,KLK2,1
HGNC:6367,KLK6,1
HGNC:24054,KNL1,1
HGNC:1573,KRIT1,1
HGNC:6430,KRT18,1
HGNC:6436,KRT19,1
HGNC:6467,KTN1,1
HGNC:26677,L3MBTL4,1
HGNC:12749,LAT2,1
HGNC:6524,LCK,1
HGNC:6547,LDLR,1
HGNC:6552,LEFTY1,1
HGNC:3122,LEFTY2,1
HGNC:6554,LEPR,1
HGNC:6568,LGALS7,1
HGNC:4504,LGR5,1
HGNC:6586,LHFPL6,1
HGNC:21734,LHX4,1
HGNC:21735,LHX6,1
HGNC:24636,LIMA1,1
HGNC:6612,LIMD1,1
HGNC:30830,LIN9,1
HGNC:26885,LINC-PINT,1
HGNC:16841,LITAF,1
HGNC:6628,LLGL1,1
HGNC:6636,LMNA,1
HGNC:26683,LMNTD1,1
HGNC:6664,LOX,1
HGNC:17360,LRIG1,1
HGNC:28105,LRRC3B,1
HGNC:15586,LRRC4,1
HGNC:18618,LRRK2,1
HGNC:6705,LSAMP,1
HGNC:6720,LTF,1
HGNC:6721,LTK,1
HGNC:13347,LXN,1
HGNC:13861,LZTS1,1
HGNC:6762,MAD1L1,1
HGNC:6764,MAD2L2,1
HGNC:6766,MADD,1
HGNC:13731,MAEA,1
HGNC:6813,MAGED1,1
HGNC:24092,MAGEH1,1
HGNC:6815,MAGOH,1
HGNC:6817,MAL,1
HGNC:16259,MAML2,1
HGNC:6847,MAP2K7,1
HGNC:6853,MAP3K14,1
HGNC:6856,MAP3K4,1
HGNC:6858,MAP3K6,1
HGNC:6860,MAP3K8,1
HGNC:6863,MAP4K1,1
HGNC:6872,MAPK10,1
HGNC:6877,MAPK3,1
HGNC:6886,MAPK9,1
HGNC:6759,MARCKS,1
HGNC:28674,MARVELD1,1
HGNC:19034,MAST1,1
HGNC:19035,MAST2,1
HGNC:6904,MAT2A,1
HGNC:6929,MC1R,1
HGNC:6935,MCC,1
HGNC:21484,MCM9,1
HGNC:6954,MCPH1,1
HGNC:6996,MEF2C,1
HGNC:6997,MEF2D,1
HGNC:14575,MEG3,1
HGNC:25897,MFSD2A,1
HGNC:7076,MIA,1
HGNC:23578,MINDY3,1
HGNC:31499,MIR1-1,1
HGNC:31500,MIR1-2,1
HGNC:31487,MIR100,1
HGNC:31488,MIR101-1,1
HGNC:31489,MIR101-2,1
HGNC:31494,MIR106A,1
HGNC:31496,MIR107,1
HGNC:31497,MIR10A,1
HGNC:31501,MIR122,1
HGNC:33922,MIR1226,1
HGNC:31502,MIR124-1,1
HGNC:31503,MIR124-2,1
HGNC:31504,MIR124-3,1
HGNC:35313,MIR1247,1
HGNC:31505,MIR125A,1
HGNC:31506,MIR125B1,1
HGNC:31507,MIR125B2,1
HGNC:31508,MIR126,1
HGNC:31509,MIR127,1
HGNC:31512,MIR129-1,1
HGNC:31513,MIR129-2,1
HGNC:35284,MIR1291,1
HGNC:35289,MIR1297,1
HGNC:31514,MIR130A,1
HGNC:31516,MIR132,1
HGNC:31517,MIR133A1,1
HGNC:31518,MIR133A2,1
HGNC:31519,MIR134,1
HGNC:31520,MIR135A1,1
HGNC:31521,MIR135A2,1
HGNC:31522,MIR136,1
HGNC:31523,MIR137,1
HGNC:31524,MIR138-1,1
HGNC:31525,MIR138-2,1
HGNC:31527,MIR140,1
HGNC:31528,MIR141,1
HGNC:31529,MIR142,1
HGNC:31530,MIR143,1
HGNC:31532,MIR145,1
HGNC:31533,MIR146A,1
HGNC:31534,MIR147A,1
HGNC:31535,MIR148A,1
HGNC:31761,MIR148B,1
HGNC:31536,MIR149,1
HGNC:31537,MIR150,1
HGNC:31538,MIR152,1
HGNC:31542,MIR155,1
HGNC:31543,MIR15A,1
HGNC:31545,MIR16-1,1
HGNC:31546,MIR16-2,1
HGNC:31547,MIR17,1
HGNC:23564,MIR17HG,1
HGNC:31590,MIR181A1,1
HGNC:31549,MIR181A2,1
HGNC:31550,MIR181B1,1
HGNC:31551,MIR181B2,1
HGNC:31552,MIR181C,1
HGNC:31553,MIR182,1
HGNC:31554,MIR183,1
HGNC:31556,MIR185,1
HGNC:31557,MIR186,1
HGNC:31558,MIR187,1
HGNC:31548,MIR18A,1
HGNC:32025,MIR18B,1
HGNC:31562,MIR192,1
HGNC:31563,MIR193A,1
HGNC:32087,MIR193B,1
HGNC:31564,MIR194-1,1
HGNC:31565,MIR194-2,1
HGNC:31566,MIR195,1
HGNC:31568,MIR196A2,1
HGNC:31790,MIR196B,1
HGNC:31570,MIR198,1
HGNC:31571,MIR199A1,1
HGNC:31578,MIR200A,1
HGNC:31579,MIR200B,1
HGNC:31580,MIR200C,1
HGNC:31581,MIR203A,1
HGNC:31582,MIR204,1
HGNC:31583,MIR205,1
HGNC:31584,MIR206,1
HGNC:31577,MIR20A,1
HGNC:31586,MIR21,1
HGNC:31587,MIR210,1
HGNC:31588,MIR211,1
HGNC:31591,MIR214,1
HGNC:31592,MIR215,1
HGNC:31594,MIR217,1
HGNC:31596,MIR218-2,1
HGNC:31597,MIR219A1,1
HGNC:31599,MIR22,1
HGNC:31602,MIR222,1
HGNC:31603,MIR223,1
HGNC:31605,MIR23A,1
HGNC:31606,MIR23B,1
HGNC:31607,MIR24-1,1
HGNC:31609,MIR25,1
HGNC:31610,MIR26A1,1
HGNC:31611,MIR26A2,1
HGNC:31612,MIR26B,1
HGNC:31613,MIR27A,1
HGNC:31614,MIR27B,1
HGNC:31615,MIR28,1
HGNC:31617,MIR296,1
HGNC:31616,MIR29A,1
HGNC:31619,MIR29B1,1
HGNC:31621,MIR29C,1
HGNC:31763,MIR302B,1
HGNC:31624,MIR30A,1
HGNC:31626,MIR30C1,1
HGNC:31630,MIR31,1
HGNC:31632,MIR320A,1
HGNC:31769,MIR326,1
HGNC:32050,MIR329-1,1
HGNC:31773,MIR335,1
HGNC:31775,MIR338,1
HGNC:31634,MIR33A,1
HGNC:31777,MIR340,1
HGNC:31635,MIR34A,1
HGNC:31636,MIR34B,1
HGNC:31637,MIR34C,1
HGNC:31781,MIR367,1
HGNC:31784,MIR370,1
HGNC:31868,MIR375,1
HGNC:31871,MIR378A,1
HGNC:31876,MIR383,1
HGNC:32055,MIR409,1
HGNC:32065,MIR410,1
HGNC:31879,MIR422A,1
HGNC:31881,MIR424,1
HGNC:27645,MIR449A,1
HGNC:32794,MIR449B,1
HGNC:32053,MIR451A,1
HGNC:32340,MIR483,1
HGNC:32342,MIR486-1,1
HGNC:32533,MIR487B,1
HGNC:32075,MIR490,1
HGNC:32082,MIR493,1
HGNC:32084,MIR494,1
HGNC:32085,MIR495,1
HGNC:32088,MIR497,1
HGNC:32136,MIR502,1
HGNC:32138,MIR503,1
HGNC:32139,MIR504,1
HGNC:32140,MIR505,1
HGNC:32145,MIR508,1
HGNC:33675,MIR509-3,1
HGNC:32077,MIR511,1
HGNC:32111,MIR517A,1
HGNC:32124,MIR517C,1
HGNC:32112,MIR519D,1
HGNC:32105,MIR520B,1
HGNC:32108,MIR520C,1
HGNC:32116,MIR520G,1
HGNC:32806,MIR551A,1
HGNC:32830,MIR574,1
HGNC:32871,MIR615,1
HGNC:32892,MIR636,1
HGNC:31638,MIR7-1,1
HGNC:31639,MIR7-2,1
HGNC:31640,MIR7-3,1
HGNC:33654,MIR708,1
HGNC:33643,MIR874,1
HGNC:33648,MIR888,1
HGNC:31641,MIR9-1,1
HGNC:31642,MIR9-2,1
HGNC:31646,MIR9-3,1
HGNC:33684,MIR941-1,1
HGNC:31649,MIR98,1
HGNC:31650,MIR99A,1
HGNC:31476,MIRLET7A1,1
HGNC:31477,MIRLET7A2,1
HGNC:31478,MIRLET7A3,1
HGNC:31479,MIRLET7B,1
HGNC:31480,MIRLET7C,1
HGNC:31481,MIRLET7D,1
HGNC:31482,MIRLET7E,1
HGNC:31483,MIRLET7F1,1
HGNC:31484,MIRLET7F2,1
HGNC:31485,MIRLET7G,1
HGNC:31486,MIRLET7I,1
HGNC:7110,MKNK1,1
HGNC:16997,MLLT11,1
HGNC:7154,MME,1
HGNC:7166,MMP2,1
HGNC:7176,MMP9,1
HGNC:7188,MNT,1
HGNC:16015,MOB1A,1
HGNC:29801,MOB1B,1
HGNC:7315,MS4A1,1
HGNC:7380,MST1,1
HGNC:7396,MT1DP,1
HGNC:7398,MT1F,1
HGNC:7399,MT1G,1
HGNC:14296,MT1M,1
HGNC:7406,MT2A,1
HGNC:7423,MTCP1,1
HGNC:7473,MTRR,1
HGNC:20443,MTSS1,1
HGNC:29789,MTUS1,1
HGNC:29814,MUS81,1
HGNC:7525,MUSK,1
HGNC:7534,MXI1,1
HGNC:7546,MYBBP1A,1
HGNC:18150,MYO18B,1
HGNC:7595,MYO1A,1
HGNC:30125,MZB1,1
HGNC:21683,NAPEPLD,1
HGNC:30450,NAPRT,1
HGNC:1007,NBEAP1,1
HGNC:15486,NCKIPSD,1
HGNC:7668,NCOA1,1
HGNC:7670,NCOA3,1
HGNC:15909,NCOA5,1
HGNC:17091,NCSTN,1
HGNC:7675,NDN,1
HGNC:14460,NDRG2,1
HGNC:14466,NDRG4,1
HGNC:20779,NDST4,1
HGNC:19688,NECTIN4,1
HGNC:7727,NEDD4,1
HGNC:7728,NEDD4L,1
HGNC:7733,NEDD9,1
HGNC:7761,NEURL1,1
HGNC:7776,NFATC2,1
HGNC:7785,NFIB,1
HGNC:7794,NFKB1,1
HGNC:7809,NGFR,1
HGNC:14377,NHP2,1
HGNC:7824,NINJ1,1
HGNC:29878,NIT2,1
HGNC:16364,NKX2-8,1
HGNC:7849,NME1,1
HGNC:7860,NNAT,1
HGNC:16390,NOD1,1
HGNC:21040,NOL7,1
HGNC:7871,NONO,1
HGNC:14378,NOP10,1
HGNC:4333,NOP53,1
HGNC:7895,NPAS2,1
HGNC:24969,NPRL2,1
HGNC:7961,NR0B2,1
HGNC:7968,NR1I2,1
HGNC:7972,NR2C2,1
HGNC:7976,NR2F2,1
HGNC:7980,NR4A1,1
HGNC:7993,NRBP1,1
HGNC:7994,NRCAM,1
HGNC:7996,NRF1,1
HGNC:16229,NRSN2,1
HGNC:8021,NT5E,1
HGNC:8028,NTHL1,1
HGNC:14311,NUAK1,1
HGNC:8060,NUMB,1
HGNC:8061,NUMBL,1
HGNC:29990,NUPR1,1
HGNC:23438,NUTM2A,1
HGNC:23445,NUTM2B,1
HGNC:17190,OLFM4,1
HGNC:9398,OLIG2,1
HGNC:8138,ONECUT1,1
HGNC:8143,OPCML,1
HGNC:29971,OSCP1,1
HGNC:30093,OSGIN1,1
HGNC:19152,PACRG,1
HGNC:8573,PAEP,1
HGNC:8574,PAFAH1B1,1
HGNC:30043,PAG1,1
HGNC:17970,PAIP2,1
HGNC:15916,PAK5,1
HGNC:17068,PALLD,1
HGNC:51237,PANO1,1
HGNC:8600,PANX2,1
HGNC:14615,PAPPA2,1
HGNC:16369,PARK7,1
HGNC:272,PARP2,1
HGNC:273,PARP3,1
HGNC:17270,PASK,1
HGNC:13071,PATZ1,1
HGNC:8614,PAWR,1
HGNC:8618,PAX4,1
HGNC:8620,PAX6,1
HGNC:18282,PBK,1
HGNC:23301,PBLD,1
HGNC:8636,PC,1
HGNC:13404,PCDH10,1
HGNC:14267,PCDH17,1
HGNC:8660,PCDH8,1
HGNC:8661,PCDH9,1
HGNC:8716,PCDHGC3,1
HGNC:12929,PCGF2,1
HGNC:13406,PCLO,1
HGNC:8729,PCNA,1
HGNC:13408,PDCD11,1
HGNC:8764,PDCD5,1
HGNC:8805,PDGFRL,1
HGNC:16501,PDLIM4,1
HGNC:20418,PDS5B,1
HGNC:23041,PDSS2,1
HGNC:6107,PDX1,1
HGNC:8822,PEA15,1
HGNC:8630,PEBP1,1
HGNC:8826,PEG3,1
HGNC:8846,PER2,1
HGNC:8861,PF4,1
HGNC:8881,PFN1,1
HGNC:16089,PGRMC2,1
HGNC:25793,PHACTR4,1
HGNC:8912,PHB,1
HGNC:15682,PHC3,1
HGNC:8919,PHF1,1
HGNC:12385,PHLDA2,1
HGNC:8934,PHLDA3,1
HGNC:20610,PHLPP1,1
HGNC:29149,PHLPP2,1
HGNC:691,PHOX2A,1
HGNC:2752,PIAS1,1
HGNC:17002,PIAS4,1
HGNC:8974,PIK3C3,1
HGNC:8981,PIK3R3,1
HGNC:8988,PIN1,1
HGNC:30046,PINX1,1
HGNC:17644,PIWIL2,1
HGNC:9008,PKD1,1
HGNC:9405,PKN1,1
HGNC:9022,PKNOX1,1
HGNC:9031,PLA2G2A,1
HGNC:9040,PLA2G7,1
HGNC:9042,PLA2R1,1
HGNC:17824,PLAAT2,1
HGNC:17825,PLAAT3,1
HGNC:9869,PLAAT4,1
HGNC:9046,PLAGL1,1
HGNC:9056,PLCB3,1
HGNC:9060,PLCD1,1
HGNC:17175,PLCE1,1
HGNC:9067,PLD1,1
HGNC:24310,PLEKHO1,1
HGNC:27001,PLK5,1
HGNC:9106,PLXNC1,1
HGNC:9108,PMAIP1,1
HGNC:9162,PNN,1
HGNC:17278,PNRC1,1
HGNC:18755,POLE4,1
HGNC:9181,POLH,1
HGNC:9213,POU2F2,1
HGNC:19864,POU2F3,1
HGNC:21694,POU6F2,1
HGNC:9232,PPARA,1
HGNC:9275,PPM1A,1
HGNC:9277,PPM1D,1
HGNC:16381,PPM1L,1
HGNC:9281,PPP1CA,1
HGNC:9282,PPP1CB,1
HGNC:9287,PPP1R1B,1
HGNC:9299,PPP2CA,1
HGNC:9300,PPP2CB,1
HGNC:9303,PPP2R1B,1
HGNC:9306,PPP2R2C,1
HGNC:9311,PPP2R5C,1
HGNC:9316,PPP3CC,1
HGNC:9323,PPP6C,1
HGNC:13996,PRDM11,1
HGNC:9347,PRDM2,1
HGNC:9348,PRDM4,1
HGNC:9349,PRDM5,1
HGNC:9360,PRF1,1
HGNC:17019,PRICKLE1,1
HGNC:9376,PRKAA1,1
HGNC:9381,PRKACB,1
HGNC:9399,PRKCD,1
HGNC:9401,PRKCE,1
HGNC:9404,PRKCI,1
HGNC:48942,PRNCR1,1
HGNC:9453,PRODH,1
HGNC:9454,PROM1,1
HGNC:9459,PROX1,1
HGNC:9462,PRPS1,1
HGNC:31682,PRR5,1
HGNC:9475,PRSS1,1
HGNC:9491,PRSS8,1
HGNC:9545,PSMB8,1
HGNC:9561,PSMD4,1
HGNC:43959,PTCSC3,1
HGNC:9591,PTGDR,1
HGNC:9605,PTGS2,1
HGNC:9612,PTK2B,1
HGNC:9618,PTK7,1
HGNC:9636,PTP4A3,1
HGNC:9308,PTPA,1
