id,symbol,# of Res Gene was in
HGNC:9886,KDM5A,5
HGNC:11114,KDM5C,5
HGNC:23177,KEAP1,5
HGNC:7132,KMT2A,5
HGNC:6693,LRP1B,5
HGNC:7217,MPL,5
HGNC:8068,NUP98,5
HGNC:8980,PIK3R2,5
HGNC:8986,PIM1,5
HGNC:9113,PML,5
HGNC:9236,PPARG,5
HGNC:8607,PRKN,5
HGNC:9817,RAD51,5
HGNC:9822,RAD51B,5
HGNC:9820,RAD51C,5
HGNC:9823,RAD51D,5
HGNC:18505,RNF43,5
HGNC:10682,SDHC,5
HGNC:6768,SMAD2,5
HGNC:11367,STAT5B,5
HGNC:11773,TGFBR2,5
HGNC:11876,TMPRSS2,5
HGNC:11896,TNFAIP3,5
HGNC:12680,VEGFA,5
HGNC:77,ABL2,4
HGNC:11390,AURKB,4
HGNC:904,AXIN2,4
HGNC:914,B2M,4
HGNC:989,BCL10,4
HGNC:1001,BCL6,4
HGNC:25657,BCORL1,4
HGNC:1014,BCR,4
HGNC:1076,BMPR1A,4
HGNC:20473,BRIP1,4
HGNC:1455,CALR,4
HGNC:1537,CBFA2T3,4
HGNC:1779,CDK8,4
HGNC:1806,CDX2,4
HGNC:2439,CSF3R,4
HGNC:2505,CTLA4,4
HGNC:2745,DDX3X,4
HGNC:24948,DOT1L,4
HGNC:3188,EED,4
HGNC:3387,EPHA3,4
HGNC:3392,EPHB1,4
HGNC:3436,ERCC4,4
HGNC:3437,ERCC5,4
HGNC:18185,ERRFI1,4
HGNC:3508,EWSR1,4
HGNC:3585,FANCD2,4
HGNC:3588,FANCG,4
HGNC:11920,FAS,4
HGNC:3682,FGF4,4
HGNC:3701,FHIT,4
HGNC:3763,FLT1,4
HGNC:5021,FOXA1,4
HGNC:4617,GSK3B,4
HGNC:14552,IKBKE,4
HGNC:6075,INPP4B,4
HGNC:6641,LMO1,4
HGNC:6848,MAP3K1,4
HGNC:6943,MCL1,4
HGNC:6995,MEF2B,4
HGNC:7326,MSH3,4
HGNC:7413,MTAP,4
HGNC:7527,MUTYH,4
HGNC:11825,NKX2-1,4
HGNC:7997,NRG1,4
HGNC:14234,NSD1,4
HGNC:8022,NT5C2,4
HGNC:270,PARP1,4
HGNC:8760,PDCD1,4
HGNC:18731,PDCD1LG2,4
HGNC:18145,PHF6,4
HGNC:8976,PIK3CB,4
HGNC:8978,PIK3CG,4
HGNC:9175,POLD1,4
HGNC:17284,POT1,4
HGNC:9668,PTPRD,4
HGNC:9864,RARA,4
HGNC:9954,REL,4
HGNC:30287,RPTOR,4
HGNC:15573,SETBP1,4
HGNC:29605,SH2B3,4
HGNC:19383,SOCS1,4
HGNC:11190,SOX10,4
HGNC:17575,SPEN,4
HGNC:10783,SRSF2,4
HGNC:11633,TCF3,4
HGNC:24712,TENT5C,4
HGNC:11912,TNFRSF14,4
HGNC:15979,TP63,4
HGNC:12373,TSHR,4
HGNC:13009,ZNF217,4
HGNC:23019,ZRSR2,4
HGNC:17073,ARHGAP26,3
HGNC:14193,ARHGEF12,3
HGNC:18040,ARID1B,3
HGNC:794,ATIC,3
HGNC:13222,BCL11B,3
HGNC:992,BCL2L1,3
HGNC:1004,BCL7A,3
HGNC:1008,BCL9,3
HGNC:1130,BTG1,3
HGNC:18806,CAMTA1,3
HGNC:1542,CBLB,3
HGNC:15961,CBLC,3
HGNC:12771,CCN6,3
HGNC:1681,CD44,3
HGNC:1698,CD79A,3
HGNC:1771,CDK2,3
HGNC:7067,CIITA,3
HGNC:18856,CREB3L1,3
HGNC:2509,CTNNA1,3
HGNC:2557,CUX1,3
HGNC:2561,CXCR4,3
HGNC:2584,CYLD,3
HGNC:2625,CYP2D6,3
HGNC:2718,DDB2,3
HGNC:2726,DDIT3,3
HGNC:2768,DEK,3
HGNC:20604,DIS3,3
HGNC:2974,DNM2,3
HGNC:2976,DNMT1,3
HGNC:3126,EBF1,3
HGNC:21118,ECT2L,3
HGNC:18071,EMSY,3
HGNC:11529,EPCAM,3
HGNC:3389,EPHA5,3
HGNC:3393,EPHB2,3
HGNC:3395,EPHB4,3
HGNC:3416,EPOR,3
HGNC:3433,ERCC1,3
HGNC:3435,ERCC3,3
HGNC:3489,ETS2,3
HGNC:3586,FANCE,3
HGNC:3587,FANCF,3
HGNC:20748,FANCL,3
HGNC:3595,FAT1,3
HGNC:13590,FBXO11,3
HGNC:3666,FGF10,3
HGNC:3671,FGF14,3
HGNC:3680,FGF23,3
HGNC:3684,FGF6,3
HGNC:3749,FLI1,3
HGNC:7139,FOXO4,3
HGNC:4010,FUS,3
HGNC:4173,GATA4,3
HGNC:4381,GNA13,3
HGNC:4451,GPC3,3
HGNC:2001,GREM1,3
HGNC:4638,GSTP1,3
HGNC:4852,HDAC1,3
HGNC:4910,HIF1A,3
HGNC:5009,HMGA2,3
HGNC:5112,HOXB13,3
HGNC:5253,HSP90AA1,3
HGNC:5464,IGF1,3
HGNC:5466,IGF2,3
HGNC:6116,IRF1,3
HGNC:6117,IRF2,3
HGNC:13013,KAT6A,3
HGNC:6348,KLF4,3
HGNC:18653,KLHL6,3
HGNC:6735,LYN,3
HGNC:6776,MAF,3
HGNC:6408,MAFB,3
HGNC:6819,MALT1,3
HGNC:3498,MECOM,3
HGNC:7107,MKI67,3
HGNC:7136,MLLT3,3
HGNC:7180,MN1,3
HGNC:7569,MYH11,3
HGNC:7579,MYH9,3
HGNC:7611,MYOD1,3
HGNC:7669,NCOA2,3
HGNC:7679,NDRG1,3
HGNC:7797,NFKBIA,3
HGNC:7982,NR4A3,3
HGNC:12766,NSD2,3
HGNC:12767,NSD3,3
HGNC:29919,NUTM1,3
HGNC:15524,P2RY8,3
HGNC:8617,PAX3,3
HGNC:8621,PAX7,3
HGNC:8622,PAX8,3
HGNC:8800,PDGFB,3
HGNC:8809,PDK1,3
HGNC:9143,PHOX2B,3
HGNC:9066,PLCG2,3
HGNC:9121,PMS1,3
HGNC:9395,PRKCB,3
HGNC:9658,PTPN6,3
HGNC:9682,PTPRT,3
HGNC:9811,RAD21,3
HGNC:9826,RAD54L,3
HGNC:9871,RASA1,3
HGNC:9896,RBM10,3
HGNC:14959,RBM15,3
HGNC:9949,RECQL4,3
HGNC:9955,RELA,3
HGNC:10023,RIT1,3
HGNC:10360,RPL5,3
HGNC:28583,RSPO2,3
HGNC:1535,RUNX1T1,3
HGNC:26034,SDHAF2,3
HGNC:10810,SGK1,3
HGNC:23845,SLX4,3
HGNC:11195,SOX2,3
HGNC:11204,SOX9,3
HGNC:11335,SSX1,3
HGNC:11365,STAT4,3
HGNC:11366,STAT5A,3
HGNC:11368,STAT6,3
HGNC:29529,TBL1XR1,3
HGNC:11602,TBX3,3
HGNC:11641,TCF7L2,3
HGNC:11648,TCL1A,3
HGNC:29484,TET1,3
HGNC:13532,TLX3,3
HGNC:26038,TMEM127,3
HGNC:11913,TNFRSF17,3
HGNC:11989,TOP2A,3
HGNC:20456,TRAF7,3
HGNC:16262,YAP1,3
HGNC:12930,ZBTB16,3
HGNC:40,ABCB1,2
HGNC:54,ABCC3,2
HGNC:74,ABCG2,2
HGNC:11320,ABI1,2
HGNC:25829,ABRAXAS1,2
HGNC:16496,ACSL6,2
HGNC:171,ACVR1,2
HGNC:172,ACVR1B,2
HGNC:7137,AFDN,2
HGNC:7135,AFF1,2
HGNC:17869,AFF4,2
HGNC:15472,ALDH1A2,2
HGNC:430,ALOX12B,2
HGNC:662,ARFRP1,2
HGNC:17362,ARID5B,2
HGNC:700,ARNT,2
HGNC:738,ASCL1,2
HGNC:753,ASNS,2
HGNC:758,ASS1,2
HGNC:783,ATF1,2
HGNC:17868,BBC3,2
HGNC:13221,BCL11A,2
HGNC:995,BCL2L2,2
HGNC:998,BCL3,2
HGNC:18994,BRSK1,2
HGNC:1131,BTG2,2
HGNC:1149,BUB1B,2
HGNC:1493,CARS1,2
HGNC:18782,CCDC6,2
HGNC:2500,CCN2,2
HGNC:1643,CD22,2
HGNC:11937,CD70,2
HGNC:1697,CD74,2
HGNC:1750,CDH11,2
HGNC:1786,CDKN1C,2
HGNC:17012,CEP43,2
HGNC:1884,CFTR,2
HGNC:1917,CHD2,2
HGNC:1935,CHIC2,2
HGNC:1943,CHN1,2
HGNC:19083,CKS1B,2
HGNC:16999,CLP1,2
HGNC:2092,CLTC,2
